ANIO,NOM_DOMINIO_G,NOM_IDIOMA,SEXO,EDAD,NOM_ESTADO_CIVIL,NOM_GRADO_ESTUDIOS,COD_CARRERA_UNI,COD_CENTRO_ESTUDIOS,COD_DEPARTAMENTO,NOM_CARRERA_UNI,NOM_CENTRO_ESTUDIOS,NOM_DEPARTAMENTO
2017,selva,quechua,hombre,59,conviviente,superior universitaria completa,112016,160000002,5,Educación Primaria,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,selva,castellano,mujer,61,conviviente,superior universitaria completa,112016,160000002,5,Educación Primaria,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,26,soltero(a),superior universitaria incompleta,331036,260000054,15,Administración de Empresas,Universidad Peruana de Ciencias Aplicadas,Lima
2017,sierra centro,quechua,hombre,58,casado(a),superior universitaria completa,121456,160000002,5,Educación Secundaria - Matemática,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,24,soltero(a),superior universitaria incompleta,716026,160000002,5,Farmacia y Bioquímica,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,hombre,21,soltero(a),superior universitaria incompleta,531016,160000002,5,Ingeniería Civil,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,hombre,19,soltero(a),superior universitaria incompleta,611116,160000002,5,Ingeniería Agronómica,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,hombre,24,soltero(a),superior universitaria completa,311016,160000001,15,Sociología,Universidad Nacional Mayor de San Marcos,Lima
2017,sierra centro,castellano,hombre,47,casado(a),superior universitaria completa,121016,160000002,5,Educación Secundaria,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,21,soltero(a),superior universitaria incompleta,717016,160000002,5,Obstetricia,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,19,soltero(a),superior universitaria incompleta,313016,260000059,15,Psicología,Universidad Alas Peruanas,Lima
2017,sierra centro,castellano,hombre,67,casado(a),superior universitaria completa,121016,160000002,5,Educación Secundaria,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,34,casado(a),superior universitaria completa,342046,260000024,15,Ciencias Contables y Financieras,Universidad Inca Garcilaso de la Vega,Lima
2017,sierra centro,castellano,hombre,26,soltero(a),superior universitaria incompleta,335026,260000081,15,Administración de Negocios Internacionales   1/,Universidad Peruana de Ciencias e Informática,Lima
2017,sierra centro,castellano,hombre,24,conviviente,superior universitaria incompleta,531016,260000059,15,Ingeniería Civil,Universidad Alas Peruanas,Lima
2017,sierra centro,castellano,hombre,22,soltero(a),superior universitaria incompleta,211026,160000002,5,Antropología Social,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,selva,castellano,hombre,49,conviviente,superior universitaria incompleta,527016,160000002,5,Ingeniería de Minas,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,selva,castellano,mujer,22,soltero(a),superior universitaria incompleta,333096,260000112,5,Marketing y Negocios Internacionales,Universidad de Ayacucho Federico Froebel,Ayacucho
2017,selva,castellano,hombre,30,conviviente,superior universitaria completa,714016,160000033,2,Enfermería,Universidad Nacional Santiago Antúnez de Mayolo,Ancash
2017,selva,castellano,mujer,28,conviviente,superior universitaria completa,714016,160000033,2,Enfermería,Universidad Nacional Santiago Antúnez de Mayolo,Ancash
2017,sierra centro,quechua,hombre,34,conviviente,superior universitaria incompleta,331016,160000002,5,Administración,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,20,soltero(a),superior universitaria incompleta,342046,260000037,12,Ciencias Contables y Financieras,Universidad Peruana Los Andes,Junín
2017,selva,castellano,hombre,52,conviviente,superior universitaria incompleta,611016,160000026,19,Agronomía,Universidad Nacional Daniel Alcídes Carrión,Pasco
2017,sierra centro,castellano,hombre,23,soltero(a),superior universitaria incompleta,421016,160000002,5,Ciencias Físico Matemática   1/,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,23,soltero(a),superior universitaria completa,211036,160000001,15,Arqueología,Universidad Nacional Mayor de San Marcos,Lima
2017,sierra centro,castellano,mujer,20,soltero(a),superior universitaria incompleta,312036,160000001,15,Trabajo Social,Universidad Nacional Mayor de San Marcos,Lima
2017,sierra centro,castellano,mujer,38,casado(a),superior universitaria completa,111026,160000002,5,Educación Inicial,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,35,soltero(a),superior universitaria incompleta,717016,160000002,5,Obstetricia,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,quechua,hombre,69,viudo(a),superior universitaria completa,611016,160000002,5,Agronomía,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,hombre,82,casado(a),superior universitaria completa,531016,160000009,11,Ingeniería Civil,Universidad Nacional San Luis Gonzaga,Ica
2017,sierra centro,castellano,mujer,44,soltero(a),superior universitaria completa,112016,160000021,15,Educación Primaria,Universidad Nacional Federico Villarreal,Lima
2017,sierra centro,castellano,hombre,26,soltero(a),superior universitaria completa,717016,260000059,15,Obstetricia,Universidad Alas Peruanas,Lima
2017,sierra centro,castellano,mujer,24,soltero(a),superior universitaria completa,713026,260000059,15,Odontología,Universidad Alas Peruanas,Lima
2017,sierra centro,castellano,mujer,20,soltero(a),superior universitaria incompleta,342056,260000068,15,Contabilidad,Universidad Científica del Sur,Lima
2017,sierra centro,quechua,hombre,47,casado(a),superior universitaria completa,713026,160000009,11,Odontología,Universidad Nacional San Luis Gonzaga,Ica
2017,sierra centro,castellano,mujer,20,soltero(a),superior universitaria incompleta,313016,260000024,15,Psicología,Universidad Inca Garcilaso de la Vega,Lima
2017,sierra centro,quechua,mujer,18,soltero(a),superior universitaria incompleta,714016,160000002,5,Enfermería,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,quechua,hombre,20,soltero(a),superior universitaria incompleta,531016,160000002,5,Ingeniería Civil,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,quechua,hombre,21,soltero(a),superior universitaria incompleta,121506,160000002,5,Educación Secundaria - Matemática y Física,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,21,soltero(a),superior universitaria incompleta,717016,160000002,5,Obstetricia,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,21,soltero(a),superior universitaria incompleta,713016,260000059,15,Estomatología,Universidad Alas Peruanas,Lima
2017,sierra centro,quechua,mujer,18,soltero(a),superior universitaria incompleta,511026,260000053,2,Ingeniería de Sistemas,Universidad Católica Los Ángeles de Chimbote,Ancash
2017,sierra centro,quechua,hombre,24,soltero(a),superior universitaria incompleta,341026,160000002,5,Economía,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,hombre,22,soltero(a),superior universitaria incompleta,531016,160000002,5,Ingeniería Civil,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,quechua,hombre,53,casado(a),superior universitaria completa,112016,160000002,5,Educación Primaria,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,hombre,21,soltero(a),superior universitaria incompleta,331016,260000053,2,Administración,Universidad Católica Los Ángeles de Chimbote,Ancash
2017,sierra centro,castellano,hombre,18,soltero(a),superior universitaria incompleta,531016,260000053,2,Ingeniería Civil,Universidad Católica Los Ángeles de Chimbote,Ancash
2017,sierra centro,quechua,mujer,21,soltero(a),superior universitaria incompleta,331016,260000053,2,Administración,Universidad Católica Los Ángeles de Chimbote,Ancash
2017,sierra centro,quechua,mujer,20,soltero(a),superior universitaria incompleta,351056,260000059,15,Derecho y Ciencias Políticas   1/,Universidad Alas Peruanas,Lima
2017,sierra centro,quechua,hombre,70,casado(a),superior universitaria completa,121016,160000002,5,Educación Secundaria,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,quechua,mujer,51,casado(a),superior universitaria completa,411076,160000009,11,Ciencias Biológicas,Universidad Nacional San Luis Gonzaga,Ica
2017,sierra centro,quechua,mujer,26,soltero(a),superior universitaria incompleta,611016,160000002,5,Agronomía,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,quechua,hombre,23,soltero(a),superior universitaria incompleta,531016,160000002,5,Ingeniería Civil,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho
2017,sierra centro,castellano,mujer,19,soltero(a),superior universitaria incompleta,313016,260000014,15,Psicología,Universidad Peruana Cayetano Heredia,Lima
2017,sierra centro,quechua,hombre,72,casado(a),superior universitaria completa,112016,160000025,15,Educación Primaria,Universidad Nacional de Educación E.G.V.,Lima
2017,sierra centro,quechua,mujer,44,soltero(a),superior universitaria completa,121016,160000025,15,Educación Secundaria,Universidad Nacional de Educación E.G.V.,Lima
2017,sierra centro,quechua,mujer,41,conviviente,superior universitaria completa,111026,260000048,18,Educación Inicial,Universidad José Carlos Mariátegui,Moquegua
2017,sierra centro,quechua,hombre,25,soltero(a),superior universitaria completa,121016,160000009,11,Educación Secundaria,Universidad Nacional San Luis Gonzaga,Ica
2017,sierra centro,quechua,hombre,38,conviviente,superior universitaria incompleta,411016,160000051,9,Biología,Universidad Nacional de Huancavelica,Huancavelica
2017,sierra norte,castellano,hombre,45,casado(a),superior universitaria completa,527016,260000059,15,Ingeniería de Minas,Universidad Alas Peruanas,Lima
2017,sierra norte,castellano,mujer,22,soltero(a),superior universitaria completa,121086,160000016,6,Educación Secundaria - Ciencia Tecnología de la Comunicación,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,hombre,20,soltero(a),superior universitaria incompleta,611016,160000016,6,Agronomía,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,mujer,45,casado(a),superior universitaria completa,717016,260000019,15,Obstetricia,Universidad de San Martín de Porres,Lima
2017,sierra norte,castellano,hombre,18,soltero(a),superior universitaria incompleta,621016,160000016,6,Medicina Veterinaria,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,hombre,48,conviviente,superior universitaria completa,594056,260000052,13,Ingeniería Ambiental,Universidad Particular César Vallejo,La Libertad
2017,sierra norte,castellano,hombre,27,soltero(a),superior universitaria incompleta,711026,160000016,6,Medicina Humana,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,hombre,26,soltero(a),superior universitaria completa,511026,160000016,6,Ingeniería de Sistemas,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,hombre,24,soltero(a),superior universitaria incompleta,511026,160000016,6,Ingeniería de Sistemas,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,hombre,38,conviviente,superior universitaria completa,331016,260000055,13,Administración,Universidad Particular del Norte,La Libertad
2017,sierra norte,castellano,mujer,19,soltero(a),superior universitaria incompleta,533096,260000055,13,Arquitectura y Urbanismo,Universidad Particular del Norte,La Libertad
2017,sierra norte,castellano,hombre,47,casado(a),superior universitaria completa,331016,160000016,6,Administración,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,mujer,46,casado(a),superior universitaria completa,342056,160000016,6,Contabilidad,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,hombre,51,casado(a),superior universitaria completa,531016,160000016,6,Ingeniería Civil,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,hombre,63,casado(a),superior universitaria completa,531016,160000016,6,Ingeniería Civil,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,mujer,55,casado(a),superior universitaria completa,717016,160000016,6,Obstetricia,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,hombre,24,soltero(a),superior universitaria completa,531016,160000016,6,Ingeniería Civil,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,mujer,26,soltero(a),superior universitaria completa,531016,160000016,6,Ingeniería Civil,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,hombre,23,soltero(a),superior universitaria incompleta,531016,160000016,6,Ingeniería Civil,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,mujer,24,soltero(a),superior universitaria completa,342106,260000070,6,Contabilidad y Finanzas,Universidad Particular Antonio Guillermo Urrelo,Cajamarca
2017,sierra norte,castellano,mujer,19,soltero(a),superior universitaria incompleta,711016,160000016,6,Medicina,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,hombre,62,viudo(a),superior universitaria completa,531016,160000016,6,Ingeniería Civil,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,mujer,35,soltero(a),superior universitaria incompleta,511026,260000046,13,Ingeniería de Sistemas,Universidad P. Antenor Orrego,La Libertad
2017,sierra norte,castellano,mujer,31,soltero(a),superior universitaria completa,342056,160000016,6,Contabilidad,Universidad Nacional de Cajamarca,Cajamarca
2017,sierra norte,castellano,hombre,49,conviviente,superior universitaria completa,342056,260000052,13,Contabilidad,Universidad Particular César Vallejo,La Libertad
2017,sierra norte,castellano,hombre,29,soltero(a),superior universitaria incompleta,511026,260000070,6,Ingeniería de Sistemas,Universidad Particular Antonio Guillermo Urrelo,Cajamarca
2017,sierra norte,castellano,hombre,31,soltero(a),superior universitaria completa,342106,260000045,2,Contabilidad y Finanzas,Universidad San Pedro,Ancash
