ANIO,DOMINIO_G,COD_IDIOMA,ID_SEXO,EDAD,ID_ESTADO_CIVIL,COD_GRADO_ESTUDIOS,COD_CARRERA_UNI,NOM_DOMINIO_G,NOM_ESTADO_CIVIL,NOM_IDIOMA,NOM_GRADO_ESTUDIOS,NOM_CARRERA_UNI,SEXO
2013,2,4,2,22,6,9,714016,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Enfermería,Mujer
2013,2,4,1,37,6,9,351016,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Derecho,Hombre
2013,2,4,1,42,1,10,524026,Costa Centro,Conviviente,Castellano,Superior Universitaria Completa,Ingeniería Eléctrica,Hombre
2013,2,4,1,61,6,9,341026,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Economía,Hombre
2013,2,4,2,35,6,9,121546,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Educación Secundaria - Religión,Mujer
2013,2,4,2,29,6,11,112016,Costa Centro,Soltero,Castellano,Maestria/doctorado,Educación Primaria,Mujer
2013,2,4,2,34,6,9,342056,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Contabilidad,Mujer
2013,2,4,2,41,6,11,717016,Costa Centro,Soltero,Castellano,Maestria/doctorado,Obstetricia,Mujer
2013,2,4,2,41,6,10,717016,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Obstetricia,Mujer
2013,2,4,2,20,6,9,331016,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Administración,Mujer
2013,2,4,1,38,6,10,342056,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Hombre
2013,2,4,1,31,6,9,521046,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Industrial,Hombre
2013,2,4,1,21,6,9,526056,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Mecánica Eléctrica 1/,Hombre
2013,2,4,1,58,1,10,711016,Costa Centro,Conviviente,Castellano,Superior Universitaria Completa,Medicina,Hombre
2013,2,4,2,24,6,10,342056,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Mujer
2013,2,4,1,22,6,9,611106,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Agrónoma,Hombre
2013,2,4,2,19,6,9,331036,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Administración de Empresas,Mujer
2013,2,4,1,40,6,9,351016,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Derecho,Hombre
2013,2,4,1,29,6,10,342056,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Hombre
2013,2,4,2,20,6,9,313016,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Psicología,Mujer
2013,2,4,2,30,6,9,714016,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Enfermería,Mujer
2013,2,4,1,29,6,10,331036,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Administración de Empresas,Hombre
2013,2,4,2,21,6,9,611106,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Ingeniería Agrónoma,Mujer
2013,2,4,2,27,5,10,526036,Costa Centro,Separado,Castellano,Superior Universitaria Completa,Ingeniería Mecánica,Mujer
2013,2,4,2,21,6,9,313016,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Psicología,Mujer
2013,2,4,2,29,6,10,714016,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Enfermería,Mujer
2013,2,4,2,51,5,10,121016,Costa Centro,Separado,Castellano,Superior Universitaria Completa,Educación Secundaria,Mujer
2013,2,4,2,52,5,10,112016,Costa Centro,Separado,Castellano,Superior Universitaria Completa,Educación Primaria,Mujer
2013,2,4,1,28,6,10,342056,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Hombre
2013,2,4,2,35,6,10,342056,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Mujer
2013,2,4,2,42,6,10,717016,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Obstetricia,Mujer
2013,2,4,1,30,6,10,713026,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Odontología,Hombre
2013,2,4,1,22,6,9,313016,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Psicología,Hombre
2013,2,4,2,19,6,9,533026,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Arquitectura,Mujer
2013,2,4,1,42,2,10,121016,Costa Centro,Casado,Castellano,Superior Universitaria Completa,Educación Secundaria,Hombre
2013,2,4,2,20,1,9,342056,Costa Centro,Conviviente,Castellano,Superior Universitaria Incompleta,Contabilidad,Mujer
2013,2,4,2,42,2,10,313016,Costa Centro,Casado,Castellano,Superior Universitaria Completa,Psicología,Mujer
2013,2,4,2,42,6,10,342056,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Contabilidad,Mujer
2013,2,4,2,32,6,10,714016,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Enfermería,Mujer
2013,2,4,1,44,2,10,112016,Costa Centro,Casado,Castellano,Superior Universitaria Completa,Educación Primaria,Hombre
2013,2,4,2,49,2,10,112016,Costa Centro,Casado,Castellano,Superior Universitaria Completa,Educación Primaria,Mujer
2013,2,4,1,40,1,10,511026,Costa Centro,Conviviente,Castellano,Superior Universitaria Completa,Ingeniería de Sistemas,Hombre
2013,2,4,2,33,1,10,111026,Costa Centro,Conviviente,Castellano,Superior Universitaria Completa,Educación Inicial,Mujer
2013,2,4,1,40,2,10,411026,Costa Centro,Casado,Castellano,Superior Universitaria Completa,Biología en Acuicultura,Hombre
2013,2,4,1,36,2,9,351016,Costa Centro,Casado,Castellano,Superior Universitaria Incompleta,Derecho,Hombre
2013,2,4,2,35,2,11,714016,Costa Centro,Casado,Castellano,Maestria/doctorado,Enfermería,Mujer
2013,2,4,1,46,1,10,342056,Costa Centro,Conviviente,Castellano,Superior Universitaria Completa,Contabilidad,Hombre
2013,2,4,2,36,1,10,121016,Costa Centro,Conviviente,Castellano,Superior Universitaria Completa,Educación Secundaria,Mujer
2013,2,4,1,47,1,11,531016,Costa Centro,Conviviente,Castellano,Maestria/doctorado,Ingeniería Civil,Hombre
2013,2,4,2,39,2,9,714016,Costa Centro,Casado,Castellano,Superior Universitaria Incompleta,Enfermería,Mujer
2013,2,4,1,33,1,10,511026,Costa Centro,Conviviente,Castellano,Superior Universitaria Completa,Ingeniería de Sistemas,Hombre
2013,2,4,1,20,6,9,411016,Costa Centro,Soltero,Castellano,Superior Universitaria Incompleta,Biología,Hombre
2013,2,4,1,58,2,10,591026,Costa Centro,Casado,Castellano,Superior Universitaria Completa,Ingeniería Pesquera,Hombre
2013,2,4,1,28,6,10,523026,Costa Centro,Soltero,Castellano,Superior Universitaria Completa,Ingeniería Agroindustrial,Hombre
