COD_CENTRO_ESTUDIOS,NOM_CENTRO_ESTUDIOS
141180686,Instituto de Educación Superior Tecnológica (IEST) Luis F. Agurto Olaya
140752469,Instituto de Educación Superior Tecnológica (IEST) Luis Felipe De Las Casas Grieve
141065176,Instituto de Educación Superior Tecnológica (IEST) Luis Negreiros Vega
141355676,Instituto de Educación Superior Tecnológica (IEST) Lurin
141167923,Instituto de Educación Superior Tecnológica (IEST) Mache
141024785,Instituto de Educación Superior Tecnológica (IEST) Macusani
141249077,Instituto de Educación Superior Tecnológica (IEST) Magda Portal - Cieneguilla
141149459,Instituto de Educación Superior Tecnológica (IEST) Manos Unidas
140934570,Instituto de Educación Superior Tecnológica (IEST) Manu
141198217,Instituto de Educación Superior Tecnológica (IEST) Manuel Antonio Hierro Pozo
141065655,Instituto de Educación Superior Tecnológica (IEST) Manuel Arevalo Caceres
140660936,Instituto de Educación Superior Tecnológica (IEST) Manuel Gonzales Prada
141155860,Instituto de Educación Superior Tecnológica (IEST) Manuel Jesus Diaz Murrugarra
140481226,Instituto de Educación Superior Tecnológica (IEST) Manuel Nuñez Butron
141060110,Instituto de Educación Superior Tecnológica (IEST) Manuel Scorza Torre
141064971,Instituto de Educación Superior Tecnológica (IEST) Manuel Seoane Corrales
141016484,Instituto de Educación Superior Tecnológica (IEST) Manuel Yarleque Espinoza
141276492,Instituto de Educación Superior Tecnológica (IEST) Mañazo
140814749,Instituto de Educación Superior Tecnológica (IEST) Marco
140478412,Instituto de Educación Superior Tecnológica (IEST) Maria Rosario Araoz Pinto
141417203,Instituto de Educación Superior Tecnológica (IEST) Mariano Bonin
140920769,Instituto de Educación Superior Tecnológica (IEST) Mario Gutierrez Lopez
140721696,Instituto de Educación Superior Tecnológica (IEST) Mariscal Ramon Castilla
141122308,Instituto de Educación Superior Tecnológica (IEST) Masisea
140713305,Instituto de Educación Superior Tecnológica (IEST) Max Planck
140936708,Instituto de Educación Superior Tecnológica (IEST) Meseta De Bombon
141065051,Instituto de Educación Superior Tecnológica (IEST) Misioneros Monfortianos
140790758,Instituto de Educación Superior Tecnológica (IEST) Monsefu
140797126,Instituto de Educación Superior Tecnológica (IEST) Monseñor Julio Gonzales Ruiz
141208073,Instituto de Educación Superior Tecnológica (IEST) Morropon
140669549,Instituto de Educación Superior Tecnológica (IEST) Motupe
141025824,Instituto de Educación Superior Tecnológica (IEST) Muñani
140332361,Instituto de Educación Superior Tecnológica (IEST) Naciones Unidas
140713339,Instituto de Educación Superior Tecnológica (IEST) Naranjillo
141042571,Instituto de Educación Superior Tecnológica (IEST) Narciso Villanueva Manzo
141116557,Instituto de Educación Superior Tecnológica (IEST) Nasca
140674622,Instituto de Educación Superior Tecnológica (IEST) Nestor Samuel Martos Garrido
141614262,Instituto de Educación Superior Tecnológica (IEST) Nicanor Mujica Alvarez Calderon
140521682,Instituto de Educación Superior Tecnológica (IEST) Nor Oriental De La Selva
140622365,Instituto de Educación Superior Tecnológica (IEST) Nueva Esperanza
141348697,Instituto de Educación Superior Tecnológica (IEST) Nuevo Occoro
140669515,Instituto de Educación Superior Tecnológica (IEST) Olmos
141127349,Instituto de Educación Superior Tecnológica (IEST) Omate
141166560,Instituto de Educación Superior Tecnológica (IEST) Otuzco
140684092,Instituto de Educación Superior Tecnológica (IEST) Oxapampa
141065218,Instituto de Educación Superior Tecnológica (IEST) Oyon
141379171,Instituto de Educación Superior Tecnológica (IEST) Pablo Butz
141065697,Instituto de Educación Superior Tecnológica (IEST) Pacaran
141124833,Instituto de Educación Superior Tecnológica (IEST) Pacaraos
141121789,Instituto de Educación Superior Tecnológica (IEST) Padre Abad
140724708,Instituto de Educación Superior Tecnológica (IEST) Paijan
140714451,Instituto de Educación Superior Tecnológica (IEST) Palpa
140743336,Instituto de Educación Superior Tecnológica (IEST) Pampas-Tayacaja
140575746,Instituto de Educación Superior Tecnológica (IEST) Pasco
140814863,Instituto de Educación Superior Tecnológica (IEST) Pascual Saco Y Oliveros
141145002,Instituto de Educación Superior Tecnológica (IEST) Paucar Del Sarasara
140744235,Instituto de Educación Superior Tecnológica (IEST) Paucartambo
141389949,Instituto de Educación Superior Tecnológica (IEST) Pazos
140481143,Instituto de Educación Superior Tecnológica (IEST) Pedro A. Del Aguila Hidalgo
140606475,Instituto de Educación Superior Tecnológica (IEST) Pedro Ortiz Montoya
140481085,Instituto de Educación Superior Tecnológica (IEST) Pedro P. Diaz
141023514,Instituto de Educación Superior Tecnológica (IEST) Pedro Vilcapaza
141274364,Instituto de Educación Superior Tecnológica (IEST) Peruano Español
140671115,Instituto de Educación Superior Tecnológica (IEST) Peru-Corea Del Sur
140568154,Instituto de Educación Superior Tecnológica (IEST) Peru-Japon
140937417,Instituto de Educación Superior Tecnológica (IEST) Pichanaki
140563460,Instituto de Educación Superior Tecnológica (IEST) Pisco
141175454,Instituto de Educación Superior Tecnológica (IEST) Puerto Inca
141249796,Instituto de Educación Superior Tecnológica (IEST) Puerto Libre
141303502,Instituto de Educación Superior Tecnológica (IEST) Purus
141351527,Instituto de Educación Superior Tecnológica (IEST) Querocoto
141065259,Instituto de Educación Superior Tecnológica (IEST) Ramiro Priale Priale
140697722,Instituto de Educación Superior Tecnológica (IEST) Ramon Copaja
140814970,Instituto de Educación Superior Tecnológica (IEST) Recuay
140626192,Instituto de Educación Superior Tecnológica (IEST) Republica Federal De Alemania
141016286,Instituto de Educación Superior Tecnológica (IEST) Ricardo Ramos Plata
141175371,Instituto de Educación Superior Tecnológica (IEST) Ricardo Salinas Vara
141001783,Instituto de Educación Superior Tecnológica (IEST) Rio Santa
140675868,Instituto de Educación Superior Tecnológica (IEST) Rioja
